CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;05/09/2024;12;0,304;R
ES0022000004433403RW1P;05/09/2024;13;0,253;R
ES0022000004433403RW1P;05/09/2024;14;0,476;R
ES0022000004433403RW1P;05/09/2024;15;0,734;R
ES0022000004433403RW1P;05/09/2024;16;0,338;R
ES0022000004433403RW1P;05/09/2024;17;0,340;R
ES0022000004433403RW1P;05/09/2024;18;0,424;R
ES0022000004433403RW1P;05/09/2024;19;0,455;R
ES0022000004433403RW1P;05/09/2024;20;0,399;R
ES0022000004433403RW1P;05/09/2024;21;1,653;R
ES0022000004433403RW1P;05/09/2024;22;0,958;R
ES0022000004433403RW1P;05/09/2024;23;0,460;R
ES0022000004433403RW1P;05/09/2024;24;0,316;R
ES0022000004433403RW1P;06/09/2024;1;0,290;R
ES0022000004433403RW1P;06/09/2024;2;0,305;R
ES0022000004433403RW1P;06/09/2024;3;0,158;R
ES0022000004433403RW1P;06/09/2024;4;0,159;R
ES0022000004433403RW1P;06/09/2024;5;0,155;R
ES0022000004433403RW1P;06/09/2024;6;0,148;R
ES0022000004433403RW1P;06/09/2024;7;0,149;R
ES0022000004433403RW1P;06/09/2024;8;0,262;R
ES0022000004433403RW1P;06/09/2024;9;0,148;R
ES0022000004433403RW1P;06/09/2024;10;0,279;R
ES0022000004433403RW1P;06/09/2024;11;0,341;R
ES0022000004433403RW1P;06/09/2024;12;0,241;R
ES0022000004433403RW1P;06/09/2024;13;0,208;R
ES0022000004433403RW1P;06/09/2024;14;0,538;R
ES0022000004433403RW1P;06/09/2024;15;0,313;R
ES0022000004433403RW1P;06/09/2024;16;0,318;R
ES0022000004433403RW1P;06/09/2024;17;0,187;R
ES0022000004433403RW1P;06/09/2024;18;0,178;R
ES0022000004433403RW1P;06/09/2024;19;0,224;R
ES0022000004433403RW1P;06/09/2024;20;0,205;R
ES0022000004433403RW1P;06/09/2024;21;0,276;R
ES0022000004433403RW1P;06/09/2024;22;1,967;R
ES0022000004433403RW1P;06/09/2024;23;0,804;R
ES0022000004433403RW1P;06/09/2024;24;0,291;R
ES0022000004433403RW1P;07/09/2024;1;0,329;R
ES0022000004433403RW1P;07/09/2024;2;0,205;R
ES0022000004433403RW1P;07/09/2024;3;0,114;R
ES0022000004433403RW1P;07/09/2024;4;0,123;R
ES0022000004433403RW1P;07/09/2024;5;0,115;R
ES0022000004433403RW1P;07/09/2024;6;0,205;R
ES0022000004433403RW1P;07/09/2024;7;0,151;R
ES0022000004433403RW1P;07/09/2024;8;0,119;R
ES0022000004433403RW1P;07/09/2024;9;0,119;R
ES0022000004433403RW1P;07/09/2024;10;0,300;R
ES0022000004433403RW1P;07/09/2024;11;0,382;R
ES0022000004433403RW1P;07/09/2024;12;1,122;R
ES0022000004433403RW1P;07/09/2024;13;0,823;R
ES0022000004433403RW1P;07/09/2024;14;0,595;R
ES0022000004433403RW1P;07/09/2024;15;1,052;R
ES0022000004433403RW1P;07/09/2024;16;0,413;R
ES0022000004433403RW1P;07/09/2024;17;0,504;R
ES0022000004433403RW1P;07/09/2024;18;0,358;R
ES0022000004433403RW1P;07/09/2024;19;0,212;R
ES0022000004433403RW1P;07/09/2024;20;0,230;R
ES0022000004433403RW1P;07/09/2024;21;0,502;R
ES0022000004433403RW1P;07/09/2024;22;0,577;R
ES0022000004433403RW1P;07/09/2024;23;0,421;R
ES0022000004433403RW1P;07/09/2024;24;0,408;R
ES0022000004433403RW1P;08/09/2024;1;0,333;R
ES0022000004433403RW1P;08/09/2024;2;0,280;R
ES0022000004433403RW1P;08/09/2024;3;0,153;R
ES0022000004433403RW1P;08/09/2024;4;0,152;R
ES0022000004433403RW1P;08/09/2024;5;0,134;R
ES0022000004433403RW1P;08/09/2024;6;0,147;R
ES0022000004433403RW1P;08/09/2024;7;0,128;R
ES0022000004433403RW1P;08/09/2024;8;0,146;R
ES0022000004433403RW1P;08/09/2024;9;0,185;R
ES0022000004433403RW1P;08/09/2024;10;0,193;R
ES0022000004433403RW1P;08/09/2024;11;0,273;R
ES0022000004433403RW1P;08/09/2024;12;1,257;R
