CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;10/04/2022;11;1,335;R
ES0022000004433403RW1P;10/04/2022;12;0,758;R
ES0022000004433403RW1P;10/04/2022;13;0,106;R
ES0022000004433403RW1P;10/04/2022;14;0,137;R
ES0022000004433403RW1P;10/04/2022;15;0,315;R
ES0022000004433403RW1P;10/04/2022;16;0,379;R
ES0022000004433403RW1P;10/04/2022;17;0,328;R
ES0022000004433403RW1P;10/04/2022;18;0,360;R
ES0022000004433403RW1P;10/04/2022;19;0,440;R
ES0022000004433403RW1P;10/04/2022;20;0,368;R
ES0022000004433403RW1P;10/04/2022;21;0,773;R
ES0022000004433403RW1P;10/04/2022;22;0,553;R
ES0022000004433403RW1P;10/04/2022;23;0,313;R
ES0022000004433403RW1P;10/04/2022;24;0,352;R
ES0022000004433403RW1P;11/04/2022;1;0,277;R
ES0022000004433403RW1P;11/04/2022;2;0,143;R
ES0022000004433403RW1P;11/04/2022;3;0,127;R
ES0022000004433403RW1P;11/04/2022;4;0,196;R
ES0022000004433403RW1P;11/04/2022;5;0,106;R
ES0022000004433403RW1P;11/04/2022;6;0,097;R
ES0022000004433403RW1P;11/04/2022;7;0,094;R
ES0022000004433403RW1P;11/04/2022;8;0,321;R
ES0022000004433403RW1P;11/04/2022;9;0,116;R
ES0022000004433403RW1P;11/04/2022;10;0,412;R
ES0022000004433403RW1P;11/04/2022;11;0,263;E
ES0022000004433403RW1P;11/04/2022;12;0,230;E
ES0022000004433403RW1P;11/04/2022;13;0,245;E
ES0022000004433403RW1P;11/04/2022;14;0,448;E
ES0022000004433403RW1P;11/04/2022;15;0,418;R
ES0022000004433403RW1P;11/04/2022;16;0,334;R
ES0022000004433403RW1P;11/04/2022;17;0,275;R
ES0022000004433403RW1P;11/04/2022;18;0,257;R
ES0022000004433403RW1P;11/04/2022;19;0,344;E
ES0022000004433403RW1P;11/04/2022;20;1,007;E
ES0022000004433403RW1P;11/04/2022;21;1,017;E
ES0022000004433403RW1P;11/04/2022;22;1,044;E
ES0022000004433403RW1P;11/04/2022;23;0,547;R
ES0022000004433403RW1P;11/04/2022;24;0,217;R
ES0022000004433403RW1P;12/04/2022;1;0,124;R
ES0022000004433403RW1P;12/04/2022;2;0,098;R
ES0022000004433403RW1P;12/04/2022;3;0,114;R
ES0022000004433403RW1P;12/04/2022;4;0,082;R
ES0022000004433403RW1P;12/04/2022;5;0,090;R
ES0022000004433403RW1P;12/04/2022;6;0,111;R
ES0022000004433403RW1P;12/04/2022;7;0,084;R
ES0022000004433403RW1P;12/04/2022;8;0,310;R
ES0022000004433403RW1P;12/04/2022;9;0,219;R
ES0022000004433403RW1P;12/04/2022;10;0,395;R
ES0022000004433403RW1P;12/04/2022;11;0,301;E
ES0022000004433403RW1P;12/04/2022;12;1,164;E
ES0022000004433403RW1P;12/04/2022;13;0,958;E
ES0022000004433403RW1P;12/04/2022;14;1,122;E
ES0022000004433403RW1P;12/04/2022;15;0,428;R
ES0022000004433403RW1P;12/04/2022;16;0,184;R
ES0022000004433403RW1P;12/04/2022;17;0,255;R
ES0022000004433403RW1P;12/04/2022;18;0,261;R
ES0022000004433403RW1P;12/04/2022;19;0,392;E
ES0022000004433403RW1P;12/04/2022;20;0,443;E
ES0022000004433403RW1P;12/04/2022;21;0,652;E
ES0022000004433403RW1P;12/04/2022;22;0,797;E
ES0022000004433403RW1P;12/04/2022;23;0,360;R
ES0022000004433403RW1P;12/04/2022;24;0,241;R
ES0022000004433403RW1P;13/04/2022;1;0,190;R
ES0022000004433403RW1P;13/04/2022;2;0,153;R
ES0022000004433403RW1P;13/04/2022;3;0,093;R
ES0022000004433403RW1P;13/04/2022;4;0,103;R
ES0022000004433403RW1P;13/04/2022;5;0,097;R
ES0022000004433403RW1P;13/04/2022;6;0,085;R
ES0022000004433403RW1P;13/04/2022;7;0,086;R
ES0022000004433403RW1P;13/04/2022;8;0,356;R
ES0022000004433403RW1P;13/04/2022;9;0,120;R
ES0022000004433403RW1P;13/04/2022;10;0,275;R
ES0022000004433403RW1P;13/04/2022;11;0,103;E
ES0022000004433403RW1P;13/04/2022;12;0,104;E
ES0022000004433403RW1P;13/04/2022;13;0,133;E
ES0022000004433403RW1P;13/04/2022;14;0,223;E
ES0022000004433403RW1P;13/04/2022;15;1,023;R
ES0022000004433403RW1P;13/04/2022;16;0,502;R
ES0022000004433403RW1P;13/04/2022;17;0,234;R
ES0022000004433403RW1P;13/04/2022;18;0,252;R
ES0022000004433403RW1P;13/04/2022;19;0,290;E
ES0022000004433403RW1P;13/04/2022;20;0,399;E
ES0022000004433403RW1P;13/04/2022;21;0,430;E
ES0022000004433403RW1P;13/04/2022;22;1,499;E
ES0022000004433403RW1P;13/04/2022;23;0,712;R
ES0022000004433403RW1P;13/04/2022;24;1,314;R
ES0022000004433403RW1P;14/04/2022;1;0,827;R
ES0022000004433403RW1P;14/04/2022;2;0,193;R
ES0022000004433403RW1P;14/04/2022;3;0,144;R
ES0022000004433403RW1P;14/04/2022;4;0,116;R
ES0022000004433403RW1P;14/04/2022;5;0,086;R
ES0022000004433403RW1P;14/04/2022;6;0,087;R
ES0022000004433403RW1P;14/04/2022;7;0,116;R
ES0022000004433403RW1P;14/04/2022;8;0,105;R
ES0022000004433403RW1P;14/04/2022;9;0,089;R
ES0022000004433403RW1P;14/04/2022;10;0,095;R
ES0022000004433403RW1P;14/04/2022;11;0,223;E
ES0022000004433403RW1P;14/04/2022;12;0,294;E
ES0022000004433403RW1P;14/04/2022;13;0,328;E
ES0022000004433403RW1P;14/04/2022;14;0,408;E
ES0022000004433403RW1P;14/04/2022;15;1,335;R
ES0022000004433403RW1P;14/04/2022;16;1,028;R
ES0022000004433403RW1P;14/04/2022;17;0,962;R
ES0022000004433403RW1P;14/04/2022;18;0,290;R
ES0022000004433403RW1P;14/04/2022;19;0,359;E
ES0022000004433403RW1P;14/04/2022;20;0,347;E
ES0022000004433403RW1P;14/04/2022;21;1,387;E
ES0022000004433403RW1P;14/04/2022;22;1,776;E
ES0022000004433403RW1P;14/04/2022;23;0,748;R
ES0022000004433403RW1P;14/04/2022;24;1,027;R
ES0022000004433403RW1P;15/04/2022;1;0,815;R
ES0022000004433403RW1P;15/04/2022;2;0,252;R
ES0022000004433403RW1P;15/04/2022;3;0,284;R
ES0022000004433403RW1P;15/04/2022;4;0,164;R
ES0022000004433403RW1P;15/04/2022;5;0,184;R
ES0022000004433403RW1P;15/04/2022;6;0,150;R
ES0022000004433403RW1P;15/04/2022;7;0,185;R
ES0022000004433403RW1P;15/04/2022;8;0,150;R
ES0022000004433403RW1P;15/04/2022;9;0,175;R
ES0022000004433403RW1P;15/04/2022;10;0,224;R
ES0022000004433403RW1P;15/04/2022;11;0,469;E
ES0022000004433403RW1P;15/04/2022;12;0,389;E
ES0022000004433403RW1P;15/04/2022;13;0,387;E
ES0022000004433403RW1P;15/04/2022;14;0,397;E
ES0022000004433403RW1P;15/04/2022;15;0,175;R
ES0022000004433403RW1P;15/04/2022;16;0,150;R
ES0022000004433403RW1P;15/04/2022;17;0,178;R
ES0022000004433403RW1P;15/04/2022;18;0,149;R
ES0022000004433403RW1P;15/04/2022;19;0,182;E
ES0022000004433403RW1P;15/04/2022;20;0,153;E
ES0022000004433403RW1P;15/04/2022;21;0,179;E
ES0022000004433403RW1P;15/04/2022;22;0,412;E
ES0022000004433403RW1P;15/04/2022;23;0,621;R
ES0022000004433403RW1P;15/04/2022;24;0,411;R
ES0022000004433403RW1P;16/04/2022;1;0,326;R
ES0022000004433403RW1P;16/04/2022;2;0,266;R
ES0022000004433403RW1P;16/04/2022;3;0,113;R
ES0022000004433403RW1P;16/04/2022;4;0,090;R
ES0022000004433403RW1P;16/04/2022;5;0,111;R
ES0022000004433403RW1P;16/04/2022;6;0,090;R
ES0022000004433403RW1P;16/04/2022;7;0,102;R
ES0022000004433403RW1P;16/04/2022;8;0,096;R
ES0022000004433403RW1P;16/04/2022;9;0,108;R
ES0022000004433403RW1P;16/04/2022;10;0,269;R
ES0022000004433403RW1P;16/04/2022;11;0,415;R
ES0022000004433403RW1P;16/04/2022;12;0,419;R
ES0022000004433403RW1P;16/04/2022;13;0,727;R
ES0022000004433403RW1P;16/04/2022;14;1,308;R
ES0022000004433403RW1P;16/04/2022;15;1,177;R
ES0022000004433403RW1P;16/04/2022;16;0,818;R
ES0022000004433403RW1P;16/04/2022;17;0,377;R
ES0022000004433403RW1P;16/04/2022;18;0,430;R
ES0022000004433403RW1P;16/04/2022;19;0,464;R
ES0022000004433403RW1P;16/04/2022;20;0,413;R
ES0022000004433403RW1P;16/04/2022;21;1,465;R
ES0022000004433403RW1P;16/04/2022;22;0,759;R
ES0022000004433403RW1P;16/04/2022;23;0,528;R
ES0022000004433403RW1P;16/04/2022;24;0,259;R
ES0022000004433403RW1P;17/04/2022;1;0,274;R
ES0022000004433403RW1P;17/04/2022;2;0,111;R
ES0022000004433403RW1P;17/04/2022;3;0,100;R
ES0022000004433403RW1P;17/04/2022;4;0,100;R
ES0022000004433403RW1P;17/04/2022;5;0,111;R
ES0022000004433403RW1P;17/04/2022;6;0,085;R
ES0022000004433403RW1P;17/04/2022;7;0,113;R
ES0022000004433403RW1P;17/04/2022;8;0,101;R
ES0022000004433403RW1P;17/04/2022;9;0,199;R
ES0022000004433403RW1P;17/04/2022;10;0,238;R
ES0022000004433403RW1P;17/04/2022;11;0,465;R
ES0022000004433403RW1P;17/04/2022;12;0,182;R
ES0022000004433403RW1P;17/04/2022;13;0,100;R
ES0022000004433403RW1P;17/04/2022;14;0,126;R
ES0022000004433403RW1P;17/04/2022;15;0,265;R
ES0022000004433403RW1P;17/04/2022;16;0,544;R
ES0022000004433403RW1P;17/04/2022;17;0,282;R
ES0022000004433403RW1P;17/04/2022;18;0,125;R
ES0022000004433403RW1P;17/04/2022;19;0,101;R
ES0022000004433403RW1P;17/04/2022;20;0,116;R
ES0022000004433403RW1P;17/04/2022;21;0,252;R
ES0022000004433403RW1P;17/04/2022;22;1,005;R
ES0022000004433403RW1P;17/04/2022;23;1,138;R
ES0022000004433403RW1P;17/04/2022;24;0,679;R
ES0022000004433403RW1P;18/04/2022;1;0,686;R
ES0022000004433403RW1P;18/04/2022;2;0,119;R
ES0022000004433403RW1P;18/04/2022;3;0,111;R
ES0022000004433403RW1P;18/04/2022;4;0,101;R
ES0022000004433403RW1P;18/04/2022;5;0,112;R
ES0022000004433403RW1P;18/04/2022;6;0,084;R
ES0022000004433403RW1P;18/04/2022;7;0,183;R
ES0022000004433403RW1P;18/04/2022;8;0,282;R
ES0022000004433403RW1P;18/04/2022;9;0,114;R
ES0022000004433403RW1P;18/04/2022;10;0,101;R
ES0022000004433403RW1P;18/04/2022;11;0,315;E
ES0022000004433403RW1P;18/04/2022;12;0,369;E
ES0022000004433403RW1P;18/04/2022;13;0,267;E
ES0022000004433403RW1P;18/04/2022;14;0,254;E
ES0022000004433403RW1P;18/04/2022;15;0,250;R
ES0022000004433403RW1P;18/04/2022;16;0,232;R
ES0022000004433403RW1P;18/04/2022;17;0,252;R
ES0022000004433403RW1P;18/04/2022;18;0,252;R
ES0022000004433403RW1P;18/04/2022;19;0,291;E
ES0022000004433403RW1P;18/04/2022;20;0,416;E
ES0022000004433403RW1P;18/04/2022;21;1,351;E
ES0022000004433403RW1P;18/04/2022;22;1,138;E
ES0022000004433403RW1P;18/04/2022;23;0,650;R
ES0022000004433403RW1P;18/04/2022;24;0,315;R
ES0022000004433403RW1P;19/04/2022;1;0,143;R
ES0022000004433403RW1P;19/04/2022;2;0,107;R
ES0022000004433403RW1P;19/04/2022;3;0,087;R
ES0022000004433403RW1P;19/04/2022;4;0,112;R
ES0022000004433403RW1P;19/04/2022;5;0,105;R
ES0022000004433403RW1P;19/04/2022;6;0,099;R
ES0022000004433403RW1P;19/04/2022;7;0,246;R
ES0022000004433403RW1P;19/04/2022;8;0,204;R
ES0022000004433403RW1P;19/04/2022;9;0,159;R
ES0022000004433403RW1P;19/04/2022;10;0,106;R
ES0022000004433403RW1P;19/04/2022;11;0,247;E
ES0022000004433403RW1P;19/04/2022;12;0,315;E
ES0022000004433403RW1P;19/04/2022;13;0,828;E
ES0022000004433403RW1P;19/04/2022;14;0,615;E
ES0022000004433403RW1P;19/04/2022;15;0,682;R
ES0022000004433403RW1P;19/04/2022;16;0,243;R
ES0022000004433403RW1P;19/04/2022;17;0,232;R
ES0022000004433403RW1P;19/04/2022;18;0,288;R
ES0022000004433403RW1P;19/04/2022;19;0,347;E
ES0022000004433403RW1P;19/04/2022;20;0,499;E
ES0022000004433403RW1P;19/04/2022;21;0,793;E
ES0022000004433403RW1P;19/04/2022;22;0,576;E
ES0022000004433403RW1P;19/04/2022;23;0,264;R
ES0022000004433403RW1P;19/04/2022;24;0,195;R
ES0022000004433403RW1P;20/04/2022;1;0,109;R
ES0022000004433403RW1P;20/04/2022;2;0,096;R
ES0022000004433403RW1P;20/04/2022;3;0,094;R
ES0022000004433403RW1P;20/04/2022;4;0,093;R
ES0022000004433403RW1P;20/04/2022;5;0,099;R
ES0022000004433403RW1P;20/04/2022;6;0,102;R
ES0022000004433403RW1P;20/04/2022;7;0,295;R
ES0022000004433403RW1P;20/04/2022;8;0,186;R
ES0022000004433403RW1P;20/04/2022;9;0,184;R
ES0022000004433403RW1P;20/04/2022;10;0,266;R
ES0022000004433403RW1P;20/04/2022;11;0,345;E
ES0022000004433403RW1P;20/04/2022;12;0,267;E
ES0022000004433403RW1P;20/04/2022;13;0,245;E
ES0022000004433403RW1P;20/04/2022;14;0,834;E
ES0022000004433403RW1P;20/04/2022;15;0,751;R
ES0022000004433403RW1P;20/04/2022;16;0,502;R
ES0022000004433403RW1P;20/04/2022;17;0,222;R
ES0022000004433403RW1P;20/04/2022;18;0,240;R
ES0022000004433403RW1P;20/04/2022;19;0,260;E
ES0022000004433403RW1P;20/04/2022;20;0,230;E
ES0022000004433403RW1P;20/04/2022;21;0,229;E
ES0022000004433403RW1P;20/04/2022;22;0,233;E
ES0022000004433403RW1P;20/04/2022;23;0,400;R
ES0022000004433403RW1P;20/04/2022;24;0,386;R
ES0022000004433403RW1P;21/04/2022;1;0,284;R
ES0022000004433403RW1P;21/04/2022;2;0,119;R
ES0022000004433403RW1P;21/04/2022;3;0,083;R
ES0022000004433403RW1P;21/04/2022;4;0,104;R
ES0022000004433403RW1P;21/04/2022;5;0,108;R
ES0022000004433403RW1P;21/04/2022;6;0,106;R
ES0022000004433403RW1P;21/04/2022;7;0,239;R
ES0022000004433403RW1P;21/04/2022;8;0,148;R
ES0022000004433403RW1P;21/04/2022;9;0,170;R
ES0022000004433403RW1P;21/04/2022;10;0,258;R
ES0022000004433403RW1P;21/04/2022;11;0,299;E
ES0022000004433403RW1P;21/04/2022;12;0,280;E
ES0022000004433403RW1P;21/04/2022;13;0,251;E
ES0022000004433403RW1P;21/04/2022;14;0,329;E
ES0022000004433403RW1P;21/04/2022;15;0,300;R
ES0022000004433403RW1P;21/04/2022;16;0,261;R
