CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ES0022000004433403RW1P;31/07/2024;9;0,373;R
ES0022000004433403RW1P;31/07/2024;10;0,296;R
ES0022000004433403RW1P;31/07/2024;11;0,411;R
ES0022000004433403RW1P;31/07/2024;12;0,930;R
ES0022000004433403RW1P;31/07/2024;13;0,758;R
ES0022000004433403RW1P;31/07/2024;14;1,225;R
ES0022000004433403RW1P;31/07/2024;15;0,406;R
ES0022000004433403RW1P;31/07/2024;16;0,596;R
ES0022000004433403RW1P;31/07/2024;17;1,066;R
ES0022000004433403RW1P;31/07/2024;18;0,913;R
ES0022000004433403RW1P;31/07/2024;19;0,408;R
ES0022000004433403RW1P;31/07/2024;20;0,637;R
ES0022000004433403RW1P;31/07/2024;21;0,651;R
ES0022000004433403RW1P;31/07/2024;22;0,302;R
ES0022000004433403RW1P;31/07/2024;23;0,431;R
ES0022000004433403RW1P;31/07/2024;24;0,882;R
ES0022000004433403RW1P;01/08/2024;1;0,910;R
ES0022000004433403RW1P;01/08/2024;2;0,189;R
ES0022000004433403RW1P;01/08/2024;3;0,170;R
ES0022000004433403RW1P;01/08/2024;4;0,169;R
ES0022000004433403RW1P;01/08/2024;5;0,155;R
ES0022000004433403RW1P;01/08/2024;6;0,173;R
ES0022000004433403RW1P;01/08/2024;7;0,159;R
ES0022000004433403RW1P;01/08/2024;8;0,264;R
ES0022000004433403RW1P;01/08/2024;9;0,405;R
ES0022000004433403RW1P;01/08/2024;10;0,298;R
ES0022000004433403RW1P;01/08/2024;11;0,118;R
ES0022000004433403RW1P;01/08/2024;12;0,194;R
ES0022000004433403RW1P;01/08/2024;13;0,171;R
ES0022000004433403RW1P;01/08/2024;14;0,191;R
ES0022000004433403RW1P;01/08/2024;15;0,190;R
ES0022000004433403RW1P;01/08/2024;16;0,271;R
ES0022000004433403RW1P;01/08/2024;17;0,211;R
ES0022000004433403RW1P;01/08/2024;18;0,235;R
ES0022000004433403RW1P;01/08/2024;19;0,288;R
ES0022000004433403RW1P;01/08/2024;20;0,275;R
ES0022000004433403RW1P;01/08/2024;21;1,233;R
ES0022000004433403RW1P;01/08/2024;22;0,623;R
ES0022000004433403RW1P;01/08/2024;23;0,455;R
ES0022000004433403RW1P;01/08/2024;24;0,420;R
ES0022000004433403RW1P;02/08/2024;1;0,364;R
ES0022000004433403RW1P;02/08/2024;2;0,180;R
ES0022000004433403RW1P;02/08/2024;3;0,131;R
ES0022000004433403RW1P;02/08/2024;4;0,151;R
ES0022000004433403RW1P;02/08/2024;5;0,185;R
ES0022000004433403RW1P;02/08/2024;6;0,138;R
ES0022000004433403RW1P;02/08/2024;7;0,111;R
ES0022000004433403RW1P;02/08/2024;8;0,115;R
ES0022000004433403RW1P;02/08/2024;9;0,124;R
ES0022000004433403RW1P;02/08/2024;10;0,202;R
ES0022000004433403RW1P;02/08/2024;11;0,342;R
ES0022000004433403RW1P;02/08/2024;12;0,711;R
ES0022000004433403RW1P;02/08/2024;13;0,761;R
ES0022000004433403RW1P;02/08/2024;14;1,422;R
ES0022000004433403RW1P;02/08/2024;15;0,430;R
ES0022000004433403RW1P;02/08/2024;16;0,399;R
ES0022000004433403RW1P;02/08/2024;17;0,497;R
ES0022000004433403RW1P;02/08/2024;18;0,451;R
ES0022000004433403RW1P;02/08/2024;19;0,293;R
ES0022000004433403RW1P;02/08/2024;20;0,206;R
ES0022000004433403RW1P;02/08/2024;21;0,185;R
ES0022000004433403RW1P;02/08/2024;22;1,410;R
ES0022000004433403RW1P;02/08/2024;23;0,692;R
ES0022000004433403RW1P;02/08/2024;24;0,441;R
ES0022000004433403RW1P;03/08/2024;1;0,360;R
ES0022000004433403RW1P;03/08/2024;2;0,323;R
